The amount of steps is wrong: 83420 is not 0
  In (3,49), the ground is expected to be yellow, but it is white.
  In (24,61), the ground is expected to be yellow, but it is pink.
  In (24,62), the ground is expected to be white, but it is orange.
  In (24,63), the ground is expected to be yellow, but it is green.
  In (24,64), the ground is expected to be yellow, but it is orange.
  In (24,65), the ground is expected to be white, but it is cyan.
  In (24,66), the ground is expected to be white, but it is cyan.
  In (24,67), the ground is expected to be white, but it is green.
  In (24,68), the ground is expected to be white, but it is green.
  In (24,69), the ground is expected to be white, but it is cyan.
  In (24,70), the ground is expected to be white, but it is yellow.
  In (24,71), the ground is expected to be white, but it is yellow.
  In (24,72), the ground is expected to be white, but it is yellow.
  In (24,73), the ground is expected to be white, but it is yellow.
  In (24,74), the ground is expected to be white, but it is red.
  In (24,75), the ground is expected to be white, but it is cyan.
  In (24,76), the ground is expected to be white, but it is cyan.
  In (24,77), the ground is expected to be white, but it is cyan.
  In (24,78), the ground is expected to be white, but it is cyan.
  In (24,79), the ground is expected to be white, but it is cyan.
  In (24,80), the ground is expected to be white, but it is cyan.
  In (24,81), the ground is expected to be white, but it is red.
  In (24,82), the ground is expected to be white, but it is yellow.
  In (25,8), the ground is expected to be yellow, but it is white.
  In (25,9), the ground is expected to be yellow, but it is white.
  In (25,10), the ground is expected to be yellow, but it is white.
  In (25,11), the ground is expected to be yellow, but it is white.
  In (25,13), the ground is expected to be yellow, but it is white.
  In (25,14), the ground is expected to be yellow, but it is white.
  In (25,20), the ground is expected to be yellow, but it is white.
  In (25,21), the ground is expected to be yellow, but it is white.
  In (25,22), the ground is expected to be yellow, but it is white.
  In (25,25), the ground is expected to be white, but it is red.
  In (25,26), the ground is expected to be white, but it is green.
  In (25,27), the ground is expected to be white, but it is green.
  In (25,28), the ground is expected to be white, but it is green.
  In (25,29), the ground is expected to be white, but it is magenta.
  In (25,30), the ground is expected to be white, but it is java.awt.Color[r=151,g=106,b=117].
  In (25,31), the ground is expected to be yellow, but it is java.awt.Color[r=177,g=178,b=55].
  In (25,32), the ground is expected to be yellow, but it is java.awt.Color[r=4,g=123,b=48].
  In (25,33), the ground is expected to be yellow, but it is magenta.
  In (25,34), the ground is expected to be white, but it is magenta.
  In (25,35), the ground is expected to be white, but it is light grey.
  In (25,36), the ground is expected to be yellow, but it is java.awt.Color[r=129,g=86,b=167].
  In (25,37), the ground is expected to be yellow, but it is java.awt.Color[r=175,g=214,b=53].
  In (25,38), the ground is expected to be yellow, but it is java.awt.Color[r=4,g=123,b=48].
  In (25,39), the ground is expected to be yellow, but it is java.awt.Color[r=175,g=214,b=53].
  In (25,40), the ground is expected to be white, but it is light grey.
  In (25,41), the ground is expected to be yellow, but it is pink.
  In (25,42), the ground is expected to be yellow, but it is orange.
  In (25,43), the ground is expected to be yellow, but it is green.
  In (25,44), the ground is expected to be yellow, but it is grey.
  In (25,45), the ground is expected to be yellow, but it is light grey.
  In (25,46), the ground is expected to be white, but it is dark grey.
  In (25,47), the ground is expected to be yellow, but it is green.
  In (25,48), the ground is expected to be white, but it is yellow.
  In (25,49), the ground is expected to be yellow, but it is blue.
  In (25,50), the ground is expected to be yellow, but it is grey.
  In (25,51), the ground is expected to be yellow, but it is dark grey.
  In (25,52), the ground is expected to be white, but it is java.awt.Color[r=175,g=214,b=53].
  In (25,53), the ground is expected to be white, but it is java.awt.Color[r=244,g=184,b=202].
  In (25,54), the ground is expected to be white, but it is blue.
  In (25,55), the ground is expected to be yellow, but it is blue.
  In (25,56), the ground is expected to be yellow, but it is blue.
  In (25,57), the ground is expected to be white, but it is red.
  In (25,58), the ground is expected to be white, but it is java.awt.Color[r=82,g=208,b=110].
  In (25,59), the ground is expected to be white, but it is java.awt.Color[r=65,g=79,b=180].
  In (25,60), the ground is expected to be white, but it is java.awt.Color[r=3,g=52,b=202].
  In (25,61), the ground is expected to be yellow, but it is light grey.
  In (25,62), the ground is expected to be white, but it is light grey.
  In (25,63), the ground is expected to be yellow, but it is grey.
  In (25,64), the ground is expected to be yellow, but it is blue.
  In (25,65), the ground is expected to be yellow, but it is magenta.
  In (25,66), the ground is expected to be white, but it is java.awt.Color[r=151,g=106,b=117].
  In (25,67), the ground is expected to be white, but it is pink.
  In (25,68), the ground is expected to be white, but it is orange.
  In (25,69), the ground is expected to be white, but it is red.
  In (25,70), the ground is expected to be white, but it is red.
  In (25,71), the ground is expected to be white, but it is cyan.
  In (25,72), the ground is expected to be white, but it is yellow.
  In (25,73), the ground is expected to be white, but it is yellow.
  In (25,74), the ground is expected to be white, but it is red.
  In (25,75), the ground is expected to be white, but it is cyan.
  In (25,76), the ground is expected to be white, but it is green.
  In (25,77), the ground is expected to be white, but it is green.
  In (25,78), the ground is expected to be white, but it is green.
  In (25,79), the ground is expected to be white, but it is green.
  In (25,80), the ground is expected to be white, but it is cyan.
  In (25,81), the ground is expected to be white, but it is red.
  In (25,82), the ground is expected to be white, but it is yellow.
  In (26,8), the ground is expected to be yellow, but it is white.
  In (26,10), the ground is expected to be yellow, but it is white.
  In (26,11), the ground is expected to be yellow, but it is white.
  In (26,12), the ground is expected to be yellow, but it is white.
  In (26,15), the ground is expected to be yellow, but it is white.
  In (26,17), the ground is expected to be yellow, but it is white.
  In (26,18), the ground is expected to be yellow, but it is white.
  In (26,21), the ground is expected to be yellow, but it is white.
  In (26,22), the ground is expected to be yellow, but it is white.
  In (26,23), the ground is expected to be yellow, but it is white.
  In (26,25), the ground is expected to be yellow, but it is red.
  In (26,26), the ground is expected to be white, but it is orange.
  In (26,27), the ground is expected to be yellow, but it is blue.
  In (26,28), the ground is expected to be yellow, but it is blue.
  In (26,29), the ground is expected to be white, but it is black.
  In (26,30), the ground is expected to be white, but it is light grey.
  In (26,31), the ground is expected to be yellow, but it is java.awt.Color[r=206,g=113,b=207].
  In (26,32), the ground is expected to be yellow, but it is java.awt.Color[r=151,g=106,b=117].
  In (26,33), the ground is expected to be yellow, but it is grey.
  In (26,34), the ground is expected to be yellow, but it is magenta.
  In (26,35), the ground is expected to be yellow, but it is java.awt.Color[r=3,g=52,b=202].
  In (26,36), the ground is expected to be white, but it is java.awt.Color[r=141,g=24,b=4].
